"Gene","Frontier"
"SERPINA3",1
"CHI3L1",2
"CD44",3
"GBP2",4
"HSPA1A",4
"HAMP",5
"HILPDA",5
"SLC11A1",5
"EMP1",6
"SPP1",6
"C1R",7
"FABP5",7
"FCGR3A/B",8
"GFAP",8
"PECAM1",8
"CCL2",9
"GPNMB",9
"HMOX1",9
"LYZ",9
"P2RY6",9
"C1QC",10
"FCGR1A/B",10
"TAP1",10
"TM4SF1",10
