"Gene","Frontier"
"C4A/B",1
"GFAP",2
"IL1B",3
"B2M",4
"CPA3",4
"HMOX1",4
"P2RY6",4
"TRAT1",4
"ENTPD2",5
"FCGR1A/B",5
"GDPD2",5
"MBP",5
"SERPINA3",5
"VIM",5
"CFI",6
"IL18",6
"LRRC25",6
"GZMH",7
"HAMP",7
"KIR3DL1",7
"MS4A2",7
"MS4A4A",7
"SLC11A1",7
"TNF",7
"CCL2",8
"EMP1",8
"FOXP3",8
"GPR34",8
"LILRB4",8
"STAB1",8
"TLR3",8
"ABCC3",9
"C3",9
"CCL3",9
"CD163",9
"RASGRP1",9
"SLPI",9
"SPHK1",9
"C1R",10
"CLCF1",10
"GPNMB",10
"S100A10",10
