"Gene","Frontier"
"CXCL8",1
"SERPINA3",1
"SPP1",2
"CD44",3
"BDNF",4
"EGR1",4
"IL1B",4
"C1QC",5
"CCL3",5
"ERBB3",5
"IL6",5
"MYRF",6
"S100A12",6
"BCAS1",7
"C1QB",7
"HSPA1A",7
"SOX10",7
"CPA3",8
"FA2H",8
"MBP",8
"ERMN",9
"GFAP",9
"CA2",10
"TLR2",10
"TREM2",10
