"Gene","Frontier"
"CHI3L1",1
"SERPINA3",1
"SELPLG",2
"ADORA3",3
"C3",3
"IGFBP5",3
"PLXNB3",3
"FABP5",4
"IL18",4
"CD74",5
"CSF1R",5
"GPR34",5
"PLXDC2",5
"TRIM17",5
"EMP1",6
"NWD1",6
"TMEM100",6
"BCAS1",7
"P2RX7",7
"C3AR1",8
"OLIG1",8
"GDPD2",9
"GFAP",9
"GPR17",9
"AGMO",10
"CX3CR1",10
"FCGRT",10
"GBP2",10
"GSN",10
"GZMH",10
"TFEC",10
"UGT8",10
